iter	Passed	Remaining
0	130	129962
1	131	65605
2	132	44118
3	133	33363
4	135	26926
5	136	22637
6	137	19572
7	139	17265
8	140	15481
9	141	14047
10	143	12887
11	144	11913
12	146	11085
13	147	10371
14	148	9765
15	150	9226
16	151	8745
17	152	8326
18	153	7942
19	155	7595
20	156	7282
21	157	7015
22	159	6757
23	160	6521
24	161	6299
25	162	6097
26	164	5915
27	165	5745
28	166	5580
29	167	5428
30	169	5283
31	170	5148
32	171	5023
33	172	4904
34	173	4791
35	174	4685
36	176	4585
37	177	4489
38	178	4398
39	179	4311
40	180	4230
41	182	4152
42	183	4077
43	184	4006
44	185	3942
45	187	3884
46	188	3821
47	189	3761
48	190	3703
49	191	3647
50	193	3594
51	194	3543
52	195	3494
53	196	3446
54	197	3400
55	199	3356
56	200	3313
57	201	3272
58	202	3232
59	203	3193
60	204	3155
61	206	3119
62	207	3083
63	208	3049
64	209	3016
65	210	2983
66	212	2954
67	213	2919
68	214	2898
69	216	2874
70	217	2849
71	219	2824
72	220	2802
73	222	2782
74	223	2761
75	225	2740
76	226	2720
77	228	2701
78	229	2679
79	231	2658
80	232	2638
81	233	2617
82	235	2597
83	236	2577
84	237	2553
85	238	2534
86	239	2511
87	240	2492
88	242	2479
89	243	2461
90	244	2444
91	246	2428
92	247	2412
93	248	2396
94	249	2380
95	251	2365
96	252	2349
97	253	2334
98	254	2320
99	256	2307
100	257	2295
101	258	2277
102	260	2265
103	262	2257
104	263	2245
105	264	2232
106	265	2219
107	267	2208
108	268	2196
109	270	2187
110	271	2176
111	273	2164
112	274	2153
113	275	2142
114	276	2131
115	277	2118
116	279	2107
117	280	2096
118	281	2084
119	282	2073
120	286	2082
121	287	2072
122	288	2057
123	289	2046
124	290	2036
125	292	2026
126	293	2016
127	294	2003
128	295	1993
129	296	1983
130	297	1975
131	299	1971
132	301	1962
133	302	1953
134	303	1945
135	304	1937
136	306	1929
137	307	1919
138	308	1911
139	309	1903
140	311	1895
141	312	1890
142	314	1882
143	315	1874
144	316	1867
145	317	1859
146	319	1852
147	320	1844
148	321	1837
149	323	1830
150	324	1822
151	325	1815
152	327	1814
153	329	1807
154	330	1801
155	331	1794
156	333	1788
157	334	1783
158	336	1777
159	337	1771
160	338	1764
161	340	1759
162	341	1752
163	342	1746
164	344	1740
165	345	1735
166	346	1728
167	347	1722
168	349	1717
169	350	1712
170	352	1706
171	353	1701
172	354	1696
173	356	1690
174	357	1685
175	358	1679
176	360	1674
177	361	1671
178	363	1665
179	364	1660
180	365	1652
181	366	1647
182	367	1641
183	369	1636
184	370	1633
185	372	1628
186	373	1623
187	374	1618
188	375	1612
189	377	1608
190	378	1603
191	379	1597
192	381	1593
193	382	1588
194	383	1584
195	385	1580
196	386	1576
197	388	1572
198	389	1568
199	390	1563
200	392	1558
201	393	1554
202	394	1549
203	395	1544
204	397	1542
205	399	1538
206	400	1534
207	401	1529
208	403	1527
209	404	1523
210	406	1518
211	407	1514
212	408	1510
213	410	1506
214	411	1502
215	412	1498
216	414	1493
217	415	1489
218	416	1486
219	418	1482
220	419	1478
221	420	1474
222	422	1470
223	423	1467
224	426	1468
225	428	1467
226	430	1465
227	432	1464
228	433	1460
229	435	1457
230	436	1453
231	437	1449
232	439	1448
233	441	1444
234	442	1440
235	443	1437
236	445	1433
237	446	1428
238	447	1424
239	448	1420
240	449	1416
241	450	1412
242	452	1408
243	453	1405
244	455	1402
245	456	1398
246	457	1395
247	458	1391
248	460	1387
249	461	1384
250	462	1380
251	463	1376
252	465	1373
253	466	1369
254	467	1366
255	469	1363
256	470	1360
257	471	1356
258	472	1353
259	474	1349
260	475	1346
261	476	1343
262	478	1340
263	479	1336
264	480	1333
265	482	1331
266	483	1327
267	484	1324
268	486	1321
269	487	1318
270	488	1315
271	490	1312
272	491	1309
273	492	1305
274	494	1302
275	496	1301
276	497	1298
277	499	1296
278	500	1293
279	501	1290
280	503	1287
281	504	1284
282	505	1281
283	507	1278
284	508	1276
285	509	1273
286	511	1270
287	512	1268
288	514	1265
289	515	1262
290	516	1259
291	518	1256
292	519	1253
293	520	1250
294	521	1247
295	523	1244
296	524	1242
297	525	1238
298	527	1236
299	528	1233
300	530	1230
301	531	1228
302	532	1225
303	533	1222
304	535	1219
305	536	1216
306	537	1213
307	538	1210
308	540	1208
309	541	1205
310	543	1203
311	544	1200
312	545	1197
313	546	1194
314	548	1191
315	549	1189
316	550	1186
317	551	1183
318	553	1181
319	554	1178
320	556	1176
321	557	1174
322	559	1171
323	560	1169
324	561	1166
325	562	1163
326	564	1161
327	565	1159
328	567	1156
329	568	1153
330	569	1151
331	570	1148
332	572	1146
333	573	1143
334	574	1140
335	575	1138
336	577	1135
337	578	1132
338	580	1132
339	582	1129
340	583	1127
341	585	1125
342	586	1123
343	588	1121
344	589	1119
345	591	1117
346	592	1114
347	593	1112
348	594	1109
349	596	1106
350	597	1104
351	599	1103
352	600	1100
353	601	1098
354	603	1096
355	604	1094
356	606	1091
357	607	1088
358	608	1086
359	609	1083
360	610	1081
361	613	1080
362	614	1078
363	615	1076
364	617	1073
365	618	1070
366	619	1068
367	620	1065
368	621	1063
369	622	1060
370	623	1057
371	625	1055
372	626	1053
373	627	1050
374	628	1048
375	630	1045
376	631	1043
377	632	1040
378	633	1037
379	634	1035
380	635	1032
381	636	1030
382	638	1027
383	639	1025
384	640	1023
385	641	1020
386	642	1018
387	643	1015
388	645	1013
389	646	1010
390	647	1008
391	648	1005
392	649	1003
393	650	1001
394	651	998
395	653	996
396	654	993
397	655	991
398	656	989
399	657	986
400	659	984
401	660	982
402	661	980
403	662	977
404	664	975
405	665	973
406	666	970
407	667	968
408	668	966
409	669	964
410	671	961
411	672	959
412	673	956
413	674	954
414	675	952
415	676	950
416	677	947
417	679	945
418	680	943
419	681	941
420	682	938
421	683	936
422	684	934
423	686	932
424	687	929
425	688	927
426	689	925
427	690	923
428	691	920
429	692	918
430	694	916
431	695	914
432	697	913
433	698	911
434	699	909
435	701	906
436	702	904
437	703	902
438	704	900
439	705	898
440	706	895
441	707	893
442	709	891
443	710	889
444	711	887
445	712	885
446	713	883
447	714	880
448	716	878
449	717	876
450	718	874
451	719	872
452	720	870
453	721	868
454	723	866
455	724	863
456	725	861
457	726	859
458	727	857
459	728	855
460	730	853
461	731	851
462	732	849
463	733	847
464	734	845
465	735	843
466	736	841
467	738	839
468	739	837
469	740	835
470	741	833
471	742	830
472	743	828
473	745	826
474	746	824
475	747	822
476	748	820
477	749	818
478	750	816
479	751	814
480	753	812
481	754	810
482	755	808
483	756	806
484	757	804
485	758	802
486	760	800
487	761	798
488	762	796
489	763	794
490	764	792
491	765	790
492	767	788
493	768	786
494	769	784
495	770	782
496	771	781
497	772	779
498	773	777
499	775	775
500	776	773
501	777	771
502	778	769
503	779	767
504	780	765
505	782	763
506	783	761
507	784	760
508	786	758
509	787	756
510	789	755
511	790	753
512	791	751
513	792	749
514	793	747
515	795	745
516	796	743
517	797	741
518	798	740
519	799	738
520	800	736
521	801	734
522	803	732
523	804	730
524	805	728
525	806	726
526	807	724
527	808	723
528	809	721
529	811	719
530	812	717
531	813	715
532	814	713
533	815	711
534	816	710
535	818	708
536	819	706
537	820	704
538	821	702
539	822	700
540	823	699
541	825	697
542	826	695
543	827	693
544	828	691
545	829	689
546	830	687
547	831	686
548	833	684
549	834	682
550	835	680
551	836	678
552	837	677
553	838	675
554	840	673
555	841	671
556	842	670
557	843	668
558	844	666
559	845	664
560	847	662
561	848	660
562	849	659
563	850	657
564	851	655
565	852	653
566	853	652
567	855	650
568	856	648
569	857	646
570	858	644
571	859	643
572	860	641
573	861	639
574	863	637
575	864	636
576	865	634
577	866	632
578	867	630
579	868	629
580	870	627
581	871	625
582	872	624
583	873	622
584	875	620
585	876	619
586	877	617
587	878	615
588	879	613
589	880	612
590	881	610
591	883	608
592	884	606
593	885	605
594	886	603
595	887	601
596	888	600
597	890	598
598	891	596
599	892	594
600	893	593
601	894	591
602	895	589
603	897	588
604	898	586
605	899	584
606	900	583
607	901	581
608	903	579
609	904	578
610	905	576
611	906	574
612	907	572
613	908	571
614	909	569
615	911	568
616	912	566
617	913	564
618	914	563
619	916	561
620	917	559
621	918	558
622	919	556
623	920	554
624	921	553
625	922	551
626	923	549
627	925	548
628	926	546
629	927	544
630	928	543
631	929	541
632	931	539
633	932	538
634	933	536
635	934	534
636	935	533
637	937	531
638	938	530
639	939	528
640	940	526
641	941	525
642	942	523
643	943	521
644	945	520
645	946	518
646	947	516
647	948	515
648	949	513
649	950	511
650	952	510
651	953	508
652	954	507
653	955	505
654	956	503
655	957	502
656	958	500
657	960	498
658	961	497
659	962	495
660	963	494
661	964	492
662	965	490
663	967	489
664	968	487
665	969	486
666	970	484
667	971	483
668	973	481
669	974	479
670	975	478
671	976	476
672	977	475
673	978	473
674	980	472
675	981	470
676	983	469
677	984	467
678	985	466
679	986	464
680	988	462
681	989	461
682	990	459
683	992	458
684	993	456
685	994	455
686	995	453
687	997	452
688	998	450
689	999	449
